id / nombre / Dias / Raza  / Reservado / GENERO 
10 / Firulais / 95 / Callejero /NO / H 
14 / Einstein / 2 / Callejero /NO / H 
17 / Pluto / 10 / Callejero /NO / H 
29 / Peggy / 52 / Callejero /NO / M 
37 / Scooby / 10 / Callejero /NO / H 
43 / Buster / 11 / Callejero /NO / H 
49 / Colmillo / 2 / Callejero /NO / H 
52 / Einstein / 96 / Callejero /NO / H 
53 / Einstein / 72 / Callejero /SI / H 
61 / Firulais / 8 / Callejero /SI / H 
71 / Spunky / 61 / Callejero /SI / H 
80 / Charlie / 5 / Callejero /NO / H 
87 / Colmillo / 13 / Callejero /SI / H 
91 / Einstein / 8 / Callejero /SI / H 
99 / Peggy / 98 / Callejero /NO / M 
