id / nombre / Dias / Raza  / Reservado / GENERO 
6 / Reina / 16 / Beagle /SI / M 
11 / Peggy / 40 / Pequines /SI / M 
19 / Lassie / 31 / Dogo /SI / M 
22 / Reina / 93 / Boxer /NO / M 
29 / Peggy / 52 / Callejero /NO / M 
34 / Bonnie / 84 / Pequines /SI / M 
39 / Bonnie / 93 / Collie /NO / M 
45 / Lassie / 61 / Caniche /SI / M 
46 / Lassie / 3 / Pequines /NO / M 
56 / Reina / 78 / Boxer /NO / M 
57 / Reina / 85 / Collie /SI / M 
66 / Reina / 79 / Collie /SI / M 
77 / Lassie / 62 / Caniche /SI / M 
78 / Bonnie / 36 / Salchicha /SI / M 
81 / Reina / 83 / Dogo /NO / M 
83 / Lassie / 31 / Dogo /SI / M 
98 / Reina / 78 / Beagle /SI / M 
99 / Peggy / 98 / Callejero /NO / M 
